name,office,district,party
Diana DeGette,Representative to the 119th United States Congress - District 1,1,Democratic Party
Valdamar Archuleta,Representative to the 119th United States Congress - District 1,1,Republican Party
Joe Neguse,Representative to the 119th United States Congress - District 2,2,Democratic Party
Marshall Dawson,Representative to the 119th United States Congress - District 2,2,Republican Party
Adam Frisch,Representative to the 119th United States Congress - District 3,3,Democratic Party
Stephen A. Varela,Representative to the 119th United States Congress - District 3,3,Republican Party
Ron Hanks,Representative to the 119th United States Congress - District 3,3,Republican Party
Lew Webb,Representative to the 119th United States Congress - District 3,3,Republican Party
Russ Andrews,Representative to the 119th United States Congress - District 3,3,Republican Party
Curtis M. McCrackin,Representative to the 119th United States Congress - District 3,3,Republican Party
Jeff Hurd,Representative to the 119th United States Congress - District 3,3,Republican Party
Trisha Calvarese,Representative to the 119th United States Congress - District 4,4,Democratic Party
John Padora Jr.,Representative to the 119th United States Congress - District 4,4,Democratic Party
Ike McCorkle,Representative to the 119th United States Congress - District 4,4,Democratic Party
Lauren Boebert,Representative to the 119th United States Congress - District 4,4,Republican Party
Richard Holtorf,Representative to the 119th United States Congress - District 4,4,Republican Party
Mike Lynch,Representative to the 119th United States Congress - District 4,4,Republican Party
Deborah Flora,Representative to the 119th United States Congress - District 4,4,Republican Party
Jerry Sonnenberg,Representative to the 119th United States Congress - District 4,4,Republican Party
Peter Yu,Representative to the 119th United States Congress - District 4,4,Republican Party
River Gassen,Representative to the 119th United States Congress - District 5,5,Democratic Party
Joe Reagan,Representative to the 119th United States Congress - District 5,5,Democratic Party
Dave Williams,Representative to the 119th United States Congress - District 5,5,Republican Party
Jeff Crank,Representative to the 119th United States Congress - District 5,5,Republican Party
Jason Crow,Representative to the 119th United States Congress - District 6,6,Democratic Party
John E. Fabbricatore,Representative to the 119th United States Congress - District 6,6,Republican Party
Brittany Pettersen,Representative to the 119th United States Congress - District 7,7,Democratic Party
Sergei Matveyuk,Representative to the 119th United States Congress - District 7,7,Republican Party
Yadira Caraveo,Representative to the 119th United States Congress - District 8,8,Democratic Party
Gabe Evans,Representative to the 119th United States Congress - District 8,8,Republican Party
Janak Joshi,Representative to the 119th United States Congress - District 8,8,Republican Party
Kathy Gebhardt,State Board of Education Member - Congressional District 2,2,Democratic Party
Marisol Lynda Rodriguez,State Board of Education Member - Congressional District 2,2,Democratic Party
Ellen Angeles,State Board of Education Member - Congressional District 3,3,Democratic Party
Sherri M Wright,State Board of Education Member - Congressional District 3,3,Republican Party
Krista Holtzmann,State Board of Education Member - Congressional District 4,4,Democratic Party
"Kristi ""KBB"" Burton Brown",State Board of Education Member - Congressional District 4,4,Republican Party
Saundra Larsen,State Board of Education Member - Congressional District 4,4,Republican Party
Rhonda Solis,State Board of Education Member - Congressional District 8,8,Democratic Party
Yazmin Navarro,State Board of Education Member - Congressional District 8,8,Republican Party
Elliott Hood,Regent of the University of Colorado - At Large,,Democratic Party
"Charles ""CJ"" Johnson",Regent of the University of Colorado - At Large,,Democratic Party
Eric Rinard,Regent of the University of Colorado - At Large,,Republican Party
Robert B. Logan,Regent of the University of Colorado - Congressional District 3,3,Democratic Party
Kristine Sposato,Regent of the University of Colorado - Congressional District 3,3,Republican Party
Ray Scott,Regent of the University of Colorado - Congressional District 3,3,Republican Party
Axel Brown,Regent of the University of Colorado - Congressional District 5,5,Democratic Party
Ken Montera,Regent of the University of Colorado - Congressional District 5,5,Republican Party
Jennifer Brady,State Senator - District 2,2,Democratic Party
Timothy Wesley Arvidson,State Senator - District 2,2,Republican Party
Lisa Frizell,State Senator - District 2,2,Republican Party
Cole Buerger,State Senator - District 5,5,Democratic Party
Marc Catlin,State Senator - District 5,5,Republican Party
Vivian Smotherman,State Senator - District 6,6,Democratic Party
Cleave Alan Simpson,State Senator - District 6,6,Republican Party
Rex Tonkins,State Senator - District 10,10,Republican Party
David Stiver,State Senator - District 10,10,Republican Party
Larry G. Liston,State Senator - District 10,10,Republican Party
Marc Snyder,State Senator - District 12,12,Democratic Party
Adriana Cuva,State Senator - District 12,12,Republican Party
Stan VanderWerf,State Senator - District 12,12,Republican Party
Matt Johnston,State Senator - District 13,13,Democratic Party
Scott Bright,State Senator - District 13,13,Republican Party
Cathy Kipp,State Senator - District 14,14,Democratic Party
