election_year,election_type,office,district,candidate_name,first_name,middle_name,last_name,prefix,suffix,nickname,full_name_display,party,phone,email,address,website,state,original_name,original_state,original_election_year,original_office,original_filing_date,id,stable_id,county,city,zip_code,filing_date,election_date,facebook,twitter
2024,General,,,CHASE L. STUDSTILL,CHASE,L.,STUDSTILL,,,,CHASE L. STUDSTILL,,,,,,Georgia,CHASE L. STUDSTILL ,Georgia,2024,,,,,,,,,,,
2024,General,,,RANDAL MATTHEW MCGINLEY,RANDAL,MATTHEW,MCGINLEY,,,,RANDAL MATTHEW MCGINLEY,,,,,,Georgia,RANDAL MATTHEW MCGINLEY ,Georgia,2024,,,,,,,,,,,
2024,General,,,FRANK H. WOOD III,FRANK,H.,WOOD,,III,,FRANK H. WOOD III,,,,,,Georgia,FRANK H. WOOD III,Georgia,2024,,,,,,,,,,,
2024,General,,,FANI T WILLIS,FANI,T,WILLIS,,,,FANI T WILLIS,,,,,,Georgia,FANI T WILLIS ,Georgia,2024,,,,,,,,,,,
2024,General,,,CHRISTIAN WISE SMITH,CHRISTIAN,WISE,SMITH,,,,CHRISTIAN WISE SMITH,,,,,,Georgia,CHRISTIAN  WISE SMITH ,Georgia,2024,,,,,,,,,,,
2024,General,,,COURTNEY KRAMER,COURTNEY,,KRAMER,,,,COURTNEY KRAMER,,,,,,Georgia,COURTNEY  KRAMER ,Georgia,2024,,,,,,,,,,,
2024,General,,,AMBER A BRANTLEY,AMBER,A,BRANTLEY,,,,AMBER A BRANTLEY,,,,,,Georgia,AMBER A BRANTLEY ,Georgia,2024,,,,,,,,,,,
2024,General,,,JARED TOLTON WILLIAMS,JARED,TOLTON,WILLIAMS,,,,JARED TOLTON WILLIAMS,,,,,,Georgia,JARED TOLTON WILLIAMS ,Georgia,2024,,,,,,,,,,,
2024,General,,,PENNY A. PENN,PENNY,A.,PENN,,,,PENNY A. PENN,,,,,,Georgia,PENNY A. PENN ,Georgia,2024,,,,,,,,,,,
2024,General,,,SUSAN K. TREADAWAY,SUSAN,K.,TREADAWAY,,,,SUSAN K. TREADAWAY,,,,,,Georgia,SUSAN K. TREADAWAY ,Georgia,2024,,,,,,,,,,,
2024,General,,,KEITH HIGGINS,KEITH,,HIGGINS,,,,KEITH HIGGINS,,,,,,Georgia,KEITH  HIGGINS ,Georgia,2024,,,,,,,,,,,
2024,General,,,JOHN B. JOHNSON III,JOHN,B.,JOHNSON,,III,,JOHN B. JOHNSON III,,,,,,Georgia,JOHN B. JOHNSON III,Georgia,2024,,,,,,,,,,,
2024,General,,,ANTHONY JOHNSON,ANTHONY,,JOHNSON,,,,ANTHONY JOHNSON,,,,,,Georgia,ANTHONY  JOHNSON ,Georgia,2024,,,,,,,,,,,
2024,General,,,W. DONALD KELLY,W.,DONALD,KELLY,,,,W. DONALD KELLY,,,,,,Georgia,W. DONALD KELLY ,Georgia,2024,,,,,,,,,,,
2024,General,,,ERLE J. NEWTON III,ERLE,J.,NEWTON,,III,,ERLE J. NEWTON III,,,,,,Georgia,ERLE J. NEWTON III,Georgia,2024,,,,,,,,,,,
2024,General,,,TASHA M MOSLEY,TASHA,M,MOSLEY,,,,TASHA M MOSLEY,,,,,,Georgia,TASHA M MOSLEY ,Georgia,2024,,,,,,,,,,,
2024,General,,,SONYA F ALLEN,SONYA,F,ALLEN,,,,SONYA F ALLEN,,,,,,Georgia,SONYA F ALLEN ,Georgia,2024,,,,,,,,,,,
2024,General,,,FLYNN D BROADY JR,FLYNN,D,BROADY,,JR,,FLYNN D BROADY JR,,,,,,Georgia,FLYNN D BROADY JR ,Georgia,2024,,,,,,,,,,,
2024,General,,,BENJAMIN KENEMER,BENJAMIN,,KENEMER,,,,BENJAMIN KENEMER,,,,,,Georgia,BENJAMIN  KENEMER ,Georgia,2024,,,,,,,,,,,
2024,General,,,JOHN H. CRANFORD Jr,JOHN,H.,CRANFORD,,Jr,,JOHN H. CRANFORD Jr,,,,,,Georgia,JOHN H. CRANFORD Jr,Georgia,2024,,,,,,,,,,,
2024,General,,,GREGORY WAYNE EDWARDS,GREGORY,WAYNE,EDWARDS,,,,GREGORY WAYNE EDWARDS,,,,,,Georgia,GREGORY WAYNE EDWARDS ,Georgia,2024,,,,,,,,,,,
2024,General,,,ELIZABETH R GIBSON,ELIZABETH,R,GIBSON,,,,ELIZABETH R GIBSON,,,,,,Georgia,ELIZABETH R GIBSON ,Georgia,2024,,,,,,,,,,,
2024,General,,,E DALIA RACINE,E,DALIA,RACINE,,,,E DALIA RACINE,,,,,,Georgia,E DALIA RACINE ,Georgia,2024,,,,,,,,,,,
2024,General,,,CRAIG FRASER,CRAIG,,FRASER,,,,CRAIG FRASER,,,,,,Georgia,CRAIG  FRASER ,Georgia,2024,,,,,,,,,,,
2024,General,,,HAROLD D. MCLENDON,HAROLD,D.,MCLENDON,,,,HAROLD D. MCLENDON,,,,,,Georgia,HAROLD D. MCLENDON ,Georgia,2024,,,,,,,,,,,
2024,General,,,SHALENA COOK JONES,SHALENA,COOK,JONES,,,,SHALENA COOK JONES,,,,,,Georgia,SHALENA COOK JONES ,Georgia,2024,,,,,,,,,,,
2024,General,,,JENNIFER L PARKER,JENNIFER,L,PARKER,,,,JENNIFER L PARKER,,,,,,Georgia,JENNIFER L PARKER ,Georgia,2024,,,,,,,,,,,
2024,General,,,ANDRE PRETORIUS,ANDRE,,PRETORIUS,,,,ANDRE PRETORIUS,,,,,,Georgia,ANDRE  PRETORIUS ,Georgia,2024,,,,,,,,,,,
2024,General,,,DARIUS PATTILLO,DARIUS,,PATTILLO,,,,DARIUS PATTILLO,,,,,,Georgia,DARIUS  PATTILLO ,Georgia,2024,,,,,,,,,,,
2024,General,,,MARIE GREENE BRODER,MARIE,GREENE,BRODER,,,,MARIE GREENE BRODER,,,,,,Georgia,MARIE GREENE BRODER ,Georgia,2024,,,,,,,,,,,
2024,General,,,ANDREA ALABI,ANDREA,,ALABI,,,,ANDREA ALABI,,,,,,Georgia,ANDREA  ALABI ,Georgia,2024,,,,,,,,,,,
