election_year,election_type,office,district,candidate_name,first_name,middle_name,last_name,prefix,suffix,nickname,full_name_display,party,phone,email,address,website,state,original_name,original_state,original_election_year,original_office,original_filing_date,id,stable_id,county,city,zip_code,filing_date,election_date,facebook,twitter
2024,General,US Representative,District 1.0,Diana DeGette,Diana,,DeGette,,,,Diana DeGette,Democratic,,,,,Colorado,Diana DeGette,Colorado,2024,Representative to the 119th United States Congress - District 1,,1,4f39d826de91db0f,,,,,,,
2024,General,US Representative,District 1.0,Valdamar Archuleta,Valdamar,,Archuleta,,,,Valdamar Archuleta,Republican,,,,,Colorado,Valdamar Archuleta,Colorado,2024,Representative to the 119th United States Congress - District 1,,2,4bdcb6b91e20ec2b,,,,,,,
2024,General,US Representative,District 2.0,Joe Neguse,Joe,,Neguse,,,,Joe Neguse,Democratic,,,,,Colorado,Joe Neguse,Colorado,2024,Representative to the 119th United States Congress - District 2,,3,1ccf40ce6ebd90e9,,,,,,,
2024,General,US Representative,District 2.0,Marshall Dawson,Marshall,,Dawson,,,,Marshall Dawson,Republican,,,,,Colorado,Marshall Dawson,Colorado,2024,Representative to the 119th United States Congress - District 2,,4,f54eed65d43cbd3c,,,,,,,
2024,General,US Representative,District 3.0,Adam Frisch,Adam,,Frisch,,,,Adam Frisch,Democratic,,,,,Colorado,Adam Frisch,Colorado,2024,Representative to the 119th United States Congress - District 3,,5,000ea252774cf538,,,,,,,
2024,General,US Representative,District 3.0,Stephen A. Varela,Stephen,A.,Varela,,,,Stephen A. Varela,Republican,,,,,Colorado,Stephen A. Varela,Colorado,2024,Representative to the 119th United States Congress - District 3,,6,f49c3d2e779655bd,,,,,,,
2024,General,US Representative,District 3.0,Ron Hanks,Ron,,Hanks,,,,Ron Hanks,Republican,,,,,Colorado,Ron Hanks,Colorado,2024,Representative to the 119th United States Congress - District 3,,7,ed064296c3d52859,,,,,,,
2024,General,US Representative,District 3.0,Lew Webb,Lew,,Webb,,,,Lew Webb,Republican,,,,,Colorado,Lew Webb,Colorado,2024,Representative to the 119th United States Congress - District 3,,8,3b6a82acd88525ab,,,,,,,
2024,General,US Representative,District 3.0,Russ Andrews,Russ,,Andrews,,,,Russ Andrews,Republican,,,,,Colorado,Russ Andrews,Colorado,2024,Representative to the 119th United States Congress - District 3,,9,42cd0ccab85fefca,,,,,,,
2024,General,US Representative,District 3.0,Curtis M. McCrackin,Curtis,M.,McCrackin,,,,Curtis M. McCrackin,Republican,,,,,Colorado,Curtis M. McCrackin,Colorado,2024,Representative to the 119th United States Congress - District 3,,10,edc6b126b94639c7,,,,,,,
2024,General,US Representative,District 3.0,Jeff Hurd,Jeff,,Hurd,,,,Jeff Hurd,Republican,,,,,Colorado,Jeff Hurd,Colorado,2024,Representative to the 119th United States Congress - District 3,,11,ea06c24aa050d735,,,,,,,
2024,General,US Representative,District 4.0,Trisha Calvarese,Trisha,,Calvarese,,,,Trisha Calvarese,Democratic,,,,,Colorado,Trisha Calvarese,Colorado,2024,Representative to the 119th United States Congress - District 4,,12,166827df5cc41555,,,,,,,
2024,General,US Representative,District 4.0,John Padora Jr.,John,Padora,.,,Jr,,John Padora .,Democratic,,,,,Colorado,John Padora Jr.,Colorado,2024,Representative to the 119th United States Congress - District 4,,13,80828b911713a2be,,,,,,,
